id,name,segment_ids,description,part_of
0000411,City of Marquette Multi Use Path,TRL21322;TRL21323;TRL21324;TRL21325;TRL21326;TRL21327;TRL21328;TRL21329;TRL21330;TRL21331;TRL21332;TRL21333;TRL21334;TRL21335;TRL21336;TRL21337;TRL21338;TRL21339;TRL21340;TRL21341;TRL21342;TRL21343;TRL21344;TRL21345;TRL21346;TRL21347;TRL21348;TRL21349;TRL21350;TRL21351;TRL21352;TRL21353;TRL21354;TRL21355;TRL21356;TRL21357;TRL21358;TRL21780;TRL21783;TRL21784;TRL21786;TRL21829;TRL22769;TRL22770;TRL23170;TRL23171;TRL23172;TRL23571;TRL23572;TRL23579;TRL23582;TRL23586;TRL23588;TRL23589;TRL23590;TRL23591;TRL23592;TRL23593,,
0000412,DNR-Harlow Lake Trails,TRL21014;TRL21015;TRL21016;TRL21044;TRL21045;TRL21046;TRL21050;TRL21051;TRL21052;TRL21053;TRL21063;TRL21066;TRL21068;TRL21069;TRL21071;TRL21072;TRL21074;TRL21076;TRL21077;TRL21078;TRL21079;TRL21080;TRL21102;TRL21112;TRL21113;TRL21134;TRL21135;TRL21136;TRL21318;TRL21659;TRL21663;TRL21664;TRL21665;TRL21667;TRL21668;TRL21670;TRL21673;TRL21674;TRL21675;TRL21676;TRL21677;TRL21680;TRL21681;TRL21682;TRL21683;TRL21684;TRL21714;TRL21716;TRL21723;TRL21724;TRL21725;TRL21726;TRL21727,,
0000430,Epic Trail,TRL21245;TRL21246;TRL21247;TRL21248;TRL21249;TRL21250;TRL21251;TRL21252;TRL21253;TRL21254;TRL21255;TRL21256;TRL21257;TRL21258;TRL21267;TRL21270;TRL21271;TRL21272;TRL21273;TRL21869;TRL21871;TRL21873;TRL21875,,
0000457,Fit Strip Trail,TRL21296;TRL21831;TRL21832;TRL21833;TRL21834;TRL21835;TRL21836;TRL21837;TRL21838;TRL21839;TRL21840;TRL21841;TRL21842;TRL21843;TRL21844;TRL21845,,
0000468,Grom Loop,TRL21290;TRL22283;TRL22284;TRL22285;TRL22286;TRL22287;TRL22288;TRL22289;TRL22290;TRL22291;TRL22295;TRL22297;TRL22651;TRL22653;TRL22655;TRL22656;TRL22659;TRL22667;TRL22669;TRL22700;TRL22701;TRL22706;TRL22711;TRL22712;TRL22715;TRL22759,,
0000480,DNR-Harlow Lake Trails - Hogback Mountain,TRL21114;TRL21706,,
0000483,DNR-Harlow Lake Trails - Hogback Mountain North,TRL21064;TRL21697;TRL21698;TRL21700;TRL21702,,
0000484,DNR-Harlow Lake Trails - The Jedi,TRL21115,,
0000490,DNR-Harlow Lake Trails - Jiggity,TRL21082,,
0000552,DNR-Harlow Lake Trails - Lilly Pond Trail,TRL21060;TRL21125;TRL21708;TRL21709;TRL21710,,
